b'Date,Open,High,Low,Close,Volume,Adj Close
2017-04-06,23.040001,23.24,22.85,23.219999,380600,23.219999
2017-04-05,23.52,23.76,22.77,23.00,568800,23.00
2017-04-04,23.27,23.879999,23.15,23.379999,506300,23.379999
2017-04-03,23.209999,23.440001,22.809999,23.42,441800,23.42
2017-03-31,23.18,23.33,23.10,23.110001,454800,23.110001
2017-03-30,23.559999,23.780001,23.110001,23.18,266500,23.18
2017-03-29,23.129999,23.67,23.07,23.59,289900,23.59
2017-03-28,23.18,23.370001,22.92,23.120001,325700,23.120001
2017-03-27,22.74,23.24,22.58,23.17,219000,23.17
2017-03-24,23.17,23.379999,22.92,23.040001,181400,23.040001
2017-03-23,23.049999,23.389999,22.76,23.01,242200,23.01
2017-03-22,22.92,23.17,22.540001,23.040001,291500,23.040001
2017-03-21,23.450001,23.559999,22.65,22.85,509600,22.85
2017-03-20,23.389999,23.709999,23.26,23.309999,530300,23.309999
2017-03-17,23.65,23.709999,23.190001,23.280001,485200,23.280001
2017-03-16,22.889999,23.74,22.889999,23.629999,477600,23.629999
2017-03-15,23.00,23.040001,22.58,22.77,519300,22.77
2017-03-14,22.91,23.02,22.440001,22.92,349700,22.92
2017-03-13,22.67,23.290001,22.60,22.99,409900,22.99
2017-03-10,22.719999,22.99,22.68,22.75,322100,22.75
2017-03-09,22.67,22.82,22.27,22.469999,357000,22.469999
2017-03-08,22.76,23.030001,22.75,22.809999,236600,22.809999
2017-03-07,22.940001,23.10,22.66,22.719999,306400,22.719999
'
